,title,price,link
10,"Acer Aspire Lite 12th Gen Intel Core i3-1215U Premium Metal Laptop (Windows 11 Home/16 GB RAM/512GB SSD) AL15-52, 39.62cm (15.6"") Full HD Display, Metal Body, Steel Gray, 1.59 Kg  ","30,700",https://amazon.in//Acer-i3-1215U-Premium-Windows-AL15-52/dp/B0CM6GVR56/ref=sr_1_84?crid=2U44J85V9C94J&dib=eyJ2IjoiMSJ9.WH4tKwIorZYBdIK2_GePL6tyflx_b69ga5_d7ffDR217UUgr1bxC--fweqtKIPTHVHv2R7ZMrH--KYJjMnoxlQH3JGv0Z9OpLySmLHQIvCdnMAXVJlvs0EPVciT57kNcS2Lng1BNsTKOtrau9ATQXgAa5SOLUDSTd3iSbUBjwNywr84m2IZB2REgP5R7OBccgdR7kVbwpOizqopcOWqFF-A_Hd03M9XOjyBNhfq65zY.YnRGyDcQcLjae3qhABtDiOkK8_MJEKuV5a-JfNJSwLg&dib_tag=se&keywords=laptop&qid=1730572174&sprefix=lep%2Caps%2C757&sr=8-84
11,"Lenovo IdeaPad Slim 1 AMD Ryzen 5 5500U 15.6"" HD Thin and Light Laptop (16GB/512GB SSD/Integrated AMD Graphics/Windows 11 Home/MSO 21/1Yr ADP Free/Cloud Grey/1.61Kg), 82R400ERIN  ","36,990",https://amazon.in//sspa/click?ie=UTF8&spc=MTo4NDUxNTM3NDA5OTEyNTYyOjE3MzA1NzIxNzQ6c3BfYnRmOjMwMDEwNzY0ODY4NjAzMjo6MDo6&url=%2FLenovo-IdeaPad-Laptop-Windows-82R400ERIN%2Fdp%2FB0CP2KRYLM%2Fref%3Dsr_1_85_sspa%3Fcrid%3D2U44J85V9C94J%26dib%3DeyJ2IjoiMSJ9.WH4tKwIorZYBdIK2_GePL6tyflx_b69ga5_d7ffDR217UUgr1bxC--fweqtKIPTHVHv2R7ZMrH--KYJjMnoxlQH3JGv0Z9OpLySmLHQIvCdnMAXVJlvs0EPVciT57kNcS2Lng1BNsTKOtrau9ATQXgAa5SOLUDSTd3iSbUBjwNywr84m2IZB2REgP5R7OBccgdR7kVbwpOizqopcOWqFF-A_Hd03M9XOjyBNhfq65zY.YnRGyDcQcLjae3qhABtDiOkK8_MJEKuV5a-JfNJSwLg%26dib_tag%3Dse%26keywords%3Dlaptop%26qid%3D1730572174%26sprefix%3Dlep%252Caps%252C757%26sr%3D8-85-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9idGY%26psc%3D1
12,"MSI Modern 14, Intel 12th Gen. i5 1235U,36CM Laptop(16GB/512GB NVMe SSD/Windows 11 Home/Iris Xe/Classic Black/1.4Kg),C12MO-1203IN  ","38,732",https://amazon.in//sspa/click?ie=UTF8&spc=MTo4NDUxNTM3NDA5OTEyNTYyOjE3MzA1NzIxNzQ6c3BfYnRmOjMwMDI2MDU5ODA5OTkzMjo6MDo6&url=%2FMSI-Modern-Windows-Classic-C12MO-1203IN%2Fdp%2FB0D22M49ZQ%2Fref%3Dsr_1_86_sspa%3Fcrid%3D2U44J85V9C94J%26dib%3DeyJ2IjoiMSJ9.WH4tKwIorZYBdIK2_GePL6tyflx_b69ga5_d7ffDR217UUgr1bxC--fweqtKIPTHVHv2R7ZMrH--KYJjMnoxlQH3JGv0Z9OpLySmLHQIvCdnMAXVJlvs0EPVciT57kNcS2Lng1BNsTKOtrau9ATQXgAa5SOLUDSTd3iSbUBjwNywr84m2IZB2REgP5R7OBccgdR7kVbwpOizqopcOWqFF-A_Hd03M9XOjyBNhfq65zY.YnRGyDcQcLjae3qhABtDiOkK8_MJEKuV5a-JfNJSwLg%26dib_tag%3Dse%26keywords%3Dlaptop%26qid%3D1730572174%26sprefix%3Dlep%252Caps%252C757%26sr%3D8-86-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9idGY%26psc%3D1
13,(Refurbished) HP Zbook Miniserver Laptop Intel QuadCore i7-7th Gen Xeon E3-1505M V5 @ 2.8 Ghz Processor 4GB Nvidia Quadro M2000M Graphic (16 GB DDR4 RAM/512 GB SSD/15.6 Inches/Windows/Bluetooth/Webcam)  ,"26,990",https://amazon.in//sspa/click?ie=UTF8&spc=MTo0MTMzMTk2OTM0NjM1MDg6MTczMDU3MjEwODpzcF9tdGY6MzAwMzY4MjU1MDI2NjMyOjowOjo&url=%2FRefurbished-HP-Miniserver-Processor-Bluetooth%2Fdp%2FB0DK1VN5DP%2Fref%3Dsr_1_12_sspa%3Fcrid%3D2U44J85V9C94J%26dib%3DeyJ2IjoiMSJ9.BBnT97cykFY8SfEP2_0aDht_84_2ynzfzPKQBHaIs2hAuesqLycyGK3mm_cAUh0dH_P0vCMPqX8fS8Xde0W9WM1jx6_yyA7qmfVIDi1OXPW7HQn0VA9BfPFFkM00s4wAfj-m5uJVpPuQoQ80f20He-e89jHnXRvWt5UMsXszzbSndTxoUCRVgTu1S4nfSJi2q_Yjc0b9oEA09jKrYe2ouvvcglkPRRSxeEUy37fSHS8.U-9GtigkIhuNFpZwjzOfpRqJmwSNVW8eqvY8kWVsrzM%26dib_tag%3Dse%26keywords%3Dlaptop%26qid%3D1730572108%26sprefix%3Dlep%252Caps%252C757%26sr%3D8-12-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9tdGY%26psc%3D1
14,"Lenovo IdeaPad 3 12th Gen Intel Core i3-1215U 14 Inch (35.5cm) FHD Thin & Light Laptop (8GB/512GB SSD/Win 11/Office 2021/Backlit KB/1Yr ADP Free/3months Game Pass/Arctic Grey/1.43Kg), 82RJ00FKIN  ","32,990",https://amazon.in//sspa/click?ie=UTF8&spc=MTozMzYxNTQyMTk5ODk2NjUyOjE3MzA1NzIxODU6c3BfYXRmX25leHQ6MzAwMjg2MjIxNzA2NTMyOjowOjo&url=%2FLenovo-IdeaPad-i3-1215U-Backlit-82RJ00FKIN%2Fdp%2FB0DB1WCBBS%2Fref%3Dsr_1_81_sspa%3Fcrid%3D2U44J85V9C94J%26dib%3DeyJ2IjoiMSJ9.ZCnszAWebjp4b9QolhjL_BXSl_z0bYMO5hj-PHVrtVquE4QY4Qe0q0ICLUS8bTS86SWIjJcdUG6MPndXGQFWoXMt7HbM0TwPAO9aQdCr-_6uXZs8Mnj_zYasCWYNvq-90kQO5TiZPh-A2GyU9lkXA5xijMFIQxo0zwZHjiA2G8Vq7XA9leRa8jpjayakfvsZMOXJy0Zm4DrxMsks5HVsBbTh5MSGWGZulF-Q8dln7dY.JV-B3bRHw-u4JKcl6J5vpjbn_83C8kD5V1qXL173yS0%26dib_tag%3Dse%26keywords%3Dlaptop%26qid%3D1730572185%26sprefix%3Dlep%252Caps%252C757%26sr%3D8-81-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGZfbmV4dA%26psc%3D1
15,"(Refurbished) Lenovo ThinkPad P50 Intel Core i7-6820HQ Quad Core Processor Nvidia M1000M 2GB Graphic Laptop (16 GB DDR4 RAM/128 GB SSD/15.6"" (39.62 cm) FHD (1080p)/Windows 10/WiFi/Bluetooth/Webcam)  ","25,990",https://amazon.in//sspa/click?ie=UTF8&spc=MTozMzYxNTQyMTk5ODk2NjUyOjE3MzA1NzIxODU6c3BfYXRmX25leHQ6MzAwMjYwODE4ODM4NzMyOjowOjo&url=%2FRefurbished-Lenovo-i7-6820HQ-Processor-Bluetooth%2Fdp%2FB0D9KPC3CX%2Fref%3Dsr_1_82_sspa%3Fcrid%3D2U44J85V9C94J%26dib%3DeyJ2IjoiMSJ9.ZCnszAWebjp4b9QolhjL_BXSl_z0bYMO5hj-PHVrtVquE4QY4Qe0q0ICLUS8bTS86SWIjJcdUG6MPndXGQFWoXMt7HbM0TwPAO9aQdCr-_6uXZs8Mnj_zYasCWYNvq-90kQO5TiZPh-A2GyU9lkXA5xijMFIQxo0zwZHjiA2G8Vq7XA9leRa8jpjayakfvsZMOXJy0Zm4DrxMsks5HVsBbTh5MSGWGZulF-Q8dln7dY.JV-B3bRHw-u4JKcl6J5vpjbn_83C8kD5V1qXL173yS0%26dib_tag%3Dse%26keywords%3Dlaptop%26qid%3D1730572185%26sprefix%3Dlep%252Caps%252C757%26sr%3D8-82-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGZfbmV4dA%26psc%3D1
16,"HP Victus Gaming Laptop,Windows 11 Home,AMD Ryzen 5 5600H,4Gb RTX 3050 Gpu,15.6-Inch (39.6 Cm),Fhd,IPS,144Hz,16Gb Ddr4,512Gb Ssd,Backlit Kb,B&O,9Ms Response Time,Dual Speakers (Blue,2.37 Kg),Fb0106Ax  ","60,990",https://amazon.in//HP-GeForce-Graphics-Response-15-fb0106AX/dp/B0BWS9YNCX/ref=sr_1_83?crid=2U44J85V9C94J&dib=eyJ2IjoiMSJ9.ZCnszAWebjp4b9QolhjL_BXSl_z0bYMO5hj-PHVrtVquE4QY4Qe0q0ICLUS8bTS86SWIjJcdUG6MPndXGQFWoXMt7HbM0TwPAO9aQdCr-_6uXZs8Mnj_zYasCWYNvq-90kQO5TiZPh-A2GyU9lkXA5xijMFIQxo0zwZHjiA2G8Vq7XA9leRa8jpjayakfvsZMOXJy0Zm4DrxMsks5HVsBbTh5MSGWGZulF-Q8dln7dY.JV-B3bRHw-u4JKcl6J5vpjbn_83C8kD5V1qXL173yS0&dib_tag=se&keywords=laptop&qid=1730572185&sprefix=lep%2Caps%2C757&sr=8-83
17,"HP Victus Gaming Laptop, AMD Ryzen 7 8845HS AI Powered, 6GB RTX 4050 GPU,15.6-inch (39.6 cm),FHD, IPS,144Hz,16GB DDR5,1TB SSD, 300 nits, Win 11,Backlit KB, DTS:X Ultra (MSO, Blue, 2.29 kg), fb2117AX  ","94,990",https://amazon.in//HP-Victus-Powered-15-6-inch-Backlit/dp/B0D7PXTNRX/ref=sr_1_84?crid=2U44J85V9C94J&dib=eyJ2IjoiMSJ9.ZCnszAWebjp4b9QolhjL_BXSl_z0bYMO5hj-PHVrtVquE4QY4Qe0q0ICLUS8bTS86SWIjJcdUG6MPndXGQFWoXMt7HbM0TwPAO9aQdCr-_6uXZs8Mnj_zYasCWYNvq-90kQO5TiZPh-A2GyU9lkXA5xijMFIQxo0zwZHjiA2G8Vq7XA9leRa8jpjayakfvsZMOXJy0Zm4DrxMsks5HVsBbTh5MSGWGZulF-Q8dln7dY.JV-B3bRHw-u4JKcl6J5vpjbn_83C8kD5V1qXL173yS0&dib_tag=se&keywords=laptop&qid=1730572185&sprefix=lep%2Caps%2C757&sr=8-84
18,"ASUS TUF Gaming A15, AMD Ryzen 7 7435HS, 15.6-inch FHD 144Hz, Gaming Laptop (16GB/512GB SSD/NVIDIA GeForce RTX 4050/Windows 11/90WHr/Mecha Gray/2.2 Kg), FA507NUR-LP082W  ","79,990",https://amazon.in//ASUS-15-6-inch-GeForce-Windows-FA507NUR-LP082W/dp/B0D5DCSNM1/ref=sr_1_85?crid=2U44J85V9C94J&dib=eyJ2IjoiMSJ9.ZCnszAWebjp4b9QolhjL_BXSl_z0bYMO5hj-PHVrtVquE4QY4Qe0q0ICLUS8bTS86SWIjJcdUG6MPndXGQFWoXMt7HbM0TwPAO9aQdCr-_6uXZs8Mnj_zYasCWYNvq-90kQO5TiZPh-A2GyU9lkXA5xijMFIQxo0zwZHjiA2G8Vq7XA9leRa8jpjayakfvsZMOXJy0Zm4DrxMsks5HVsBbTh5MSGWGZulF-Q8dln7dY.JV-B3bRHw-u4JKcl6J5vpjbn_83C8kD5V1qXL173yS0&dib_tag=se&keywords=laptop&qid=1730572185&sprefix=lep%2Caps%2C757&sr=8-85
19,"(Refurbished) Lenovo ThinkPad T470 7th Gen Intel Core i5 Thin & Light HD Laptop (16 GB DDR4 RAM|512 GB SSD|14"" (35.6 cm) HD|Windows 11|WiFi|Bluetooth|Webcam|Intel HD Graphics)  ","17,999",https://amazon.in//Refurbished-Lenovo-ThinkPad-Bluetooth-Graphics/dp/B0DHLXSZMQ/ref=sr_1_86?crid=2U44J85V9C94J&dib=eyJ2IjoiMSJ9.ZCnszAWebjp4b9QolhjL_BXSl_z0bYMO5hj-PHVrtVquE4QY4Qe0q0ICLUS8bTS86SWIjJcdUG6MPndXGQFWoXMt7HbM0TwPAO9aQdCr-_6uXZs8Mnj_zYasCWYNvq-90kQO5TiZPh-A2GyU9lkXA5xijMFIQxo0zwZHjiA2G8Vq7XA9leRa8jpjayakfvsZMOXJy0Zm4DrxMsks5HVsBbTh5MSGWGZulF-Q8dln7dY.JV-B3bRHw-u4JKcl6J5vpjbn_83C8kD5V1qXL173yS0&dib_tag=se&keywords=laptop&qid=1730572185&sprefix=lep%2Caps%2C757&sr=8-86
